NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	190	-0.43969652	---	---	1.0	0.0	1625	tags=37%, list=10%, signal=40%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	189	-0.2144218	---	---	1.0	0.0	1737	tags=21%, list=10%, signal=23%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	191	-0.2942467	---	---	1.0	0.0	1744	tags=30%, list=10%, signal=33%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	188	-0.37302196	---	---	1.0	0.0	1964	tags=38%, list=12%, signal=43%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	181	-0.6520468	---	---	1.0	0.0	1754	tags=50%, list=11%, signal=55%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	186	-0.2499763	---	---	1.0	0.0	1284	tags=23%, list=8%, signal=24%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	-0.29087543	---	---	1.0	0.0	1744	tags=26%, list=10%, signal=28%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	189	-0.43367463	---	---	1.0	0.0	2533	tags=38%, list=15%, signal=44%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	196	-0.29995763	---	---	1.0	0.0	8773	tags=93%, list=53%, signal=194%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	183	-0.22589193	---	---	1.0	0.0	1513	tags=21%, list=9%, signal=23%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	182	-0.33673894	---	---	1.0	0.0	1648	tags=31%, list=10%, signal=34%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	88	-0.668716	-4.0872726	0.0	0.0	0.0	2318	tags=59%, list=14%, signal=68%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	175	-0.60429525	-3.8619401	0.0	0.0	0.0	1574	tags=55%, list=9%, signal=60%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	-0.50253785	-2.7840033	0.0	0.0	0.0	2267	tags=40%, list=14%, signal=46%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	151	-0.3914335	-2.6815805	0.0	0.0	0.0	2063	tags=40%, list=12%, signal=45%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	79	-0.46324715	-2.568218	0.0	0.0	0.0	1390	tags=37%, list=8%, signal=40%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	100	-0.37642097	-2.2355888	0.0	0.002591345	0.002	1415	tags=31%, list=8%, signal=34%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	-0.30961576	-1.978575	0.0	0.0036710717	0.003	2448	tags=36%, list=15%, signal=42%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.19839643	-1.2924194	0.0	0.07349872	0.098	2179	tags=27%, list=13%, signal=31%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	99	-0.18423843	-1.1357231	0.14285715	0.16749266	0.216	2122	tags=25%, list=13%, signal=29%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		51	-0.19212963	-1.0972452	0.37037036	0.2051255	0.267	1298	tags=22%, list=8%, signal=23%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		130	-0.16967556	-1.0917864	0.25	0.20009008	0.273	1160	tags=16%, list=7%, signal=17%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		33	-0.19828124	-1.0002865	0.41666666	0.29663858	0.4	708	tags=15%, list=4%, signal=16%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		195	-0.13901483	-0.9710069	1.0	0.32135648	0.438	2066	tags=23%, list=12%, signal=26%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		152	-0.11737461	-0.7799196	1.0	0.5123936	0.625	2037	tags=23%, list=12%, signal=26%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		98	-0.13545251	-0.755947	1.0	0.5129759	0.638	1452	tags=15%, list=9%, signal=17%	
