NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
LUMINAL_MARKERS	LUMINAL_MARKERS	Details ...	47	0.47987443	2.090235	0.0	7.9310336E-4	0.001	7473	tags=79%, list=45%, signal=142%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.3687994	1.9083252	0.0	0.0055725947	0.014	3920	tags=44%, list=24%, signal=56%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.41291162	1.7343804	0.008080808	0.019419763	0.072	5372	tags=58%, list=32%, signal=86%	
TCGA_ANDROGEN_RESPONSE	TCGA_ANDROGEN_RESPONSE	Details ...	20	0.44590828	1.6284118	0.020255864	0.039308704	0.181	5144	tags=60%, list=31%, signal=87%	
BLUEMN_FGF_PATHWAY	BLUEMN_FGF_PATHWAY	Details ...	19	0.44039026	1.5791218	0.03215434	0.052424997	0.278	6822	tags=68%, list=41%, signal=116%	
LIM_MAMMARY_STEM_CELL_UP	LIM_MAMMARY_STEM_CELL_UP	Details ...	422	0.2871749	1.5771133	0.0	0.04421855	0.282	6884	tags=53%, list=41%, signal=88%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	188	0.29784754	1.5413148	0.0	0.05274068	0.376	7387	tags=60%, list=44%, signal=106%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	190	0.29245958	1.5229484	0.0	0.054540418	0.428	4214	tags=39%, list=25%, signal=52%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	190	0.28926092	1.5016228	0.001	0.058535103	0.485	3952	tags=33%, list=24%, signal=43%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	27	0.36380166	1.4395303	0.06995885	0.09306241	0.687	8489	tags=70%, list=51%, signal=143%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	193	0.2745342	1.4230708	0.006	0.09637769	0.734	6768	tags=53%, list=41%, signal=88%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	121	0.28435162	1.420026	0.012	0.09067683	0.745	7439	tags=60%, list=45%, signal=107%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	192	0.25088984	1.3099344	0.03	0.21563175	0.982	6304	tags=45%, list=38%, signal=72%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	72	0.27758923	1.2957441	0.08608609	0.2265728	0.99	5912	tags=44%, list=35%, signal=69%	
BELTRAN_NEPC_UP	BELTRAN_NEPC_UP	Details ...	24	0.3357105	1.2761803	0.17083333	0.2514971	0.994	7647	tags=67%, list=46%, signal=123%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	186	0.24541406	1.2676008	0.068	0.2521208	0.996	5013	tags=37%, list=30%, signal=52%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	51	0.28673592	1.2668513	0.14084508	0.23855971	0.996	3817	tags=31%, list=23%, signal=41%	
