NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANLN	NA	74	0.6112250685691833	0.00721722	Yes	
row_1	KIF15	NA	249	0.5569421052932739	0.007324771	Yes	
row_2	SAC3D1	NA	262	0.5554736852645874	0.017237272	Yes	
row_3	PIF1	NA	375	0.5338359475135803	0.02066547	Yes	
row_4	ARHGAP29	NA	393	0.5318854451179504	0.029822616	Yes	
row_5	OPHN1	NA	565	0.5118942260742188	0.029249305	Yes	
row_6	ESPL1	NA	638	0.5042428374290466	0.034538526	Yes	
row_7	KIF4A	NA	648	0.5028901696205139	0.04362581	Yes	
row_8	WASF1	NA	691	0.49977755546569824	0.050650433	Yes	
row_9	BRCA2	NA	781	0.4917730689048767	0.05466891	Yes	
row_10	PRC1	NA	793	0.4907380938529968	0.06340201	Yes	
row_11	AURKA	NA	836	0.48787960410118103	0.070198715	Yes	
row_12	BIRC5	NA	852	0.4861662983894348	0.07860144	Yes	
row_13	TTK	NA	926	0.4808400273323059	0.08338165	Yes	
row_14	KIF11	NA	1019	0.47433310747146606	0.08688395	Yes	
row_15	CEP250	NA	1036	0.4726479947566986	0.094967015	Yes	
row_16	SHROOM2	NA	1063	0.471071720123291	0.1024129	Yes	
row_17	CDC42EP4	NA	1223	0.4618782699108124	0.10160985	Yes	
row_18	FGD6	NA	1225	0.4617009162902832	0.11039367	Yes	
row_19	TPX2	NA	1264	0.45947447419166565	0.11688903	Yes	
row_20	CENPF	NA	1342	0.455096036195755	0.12093329	Yes	
row_21	MYH10	NA	1343	0.4549132287502289	0.12964779	Yes	
row_22	KIF23	NA	1416	0.45114633440971375	0.13391986	Yes	
row_23	KPTN	NA	1486	0.44781285524368286	0.1383102	Yes	
row_24	ARHGEF11	NA	1736	0.4355200231075287	0.13153937	Yes	
row_25	DLGAP5	NA	1758	0.4347366690635681	0.1385927	Yes	
row_26	INCENP	NA	1767	0.43443799018859863	0.14642939	Yes	
row_27	CDK1	NA	1777	0.43394315242767334	0.1541959	Yes	
row_28	CNTROB	NA	1808	0.43257734179496765	0.1606616	Yes	
row_29	CENPE	NA	1863	0.43037086725234985	0.16562825	Yes	
row_30	KIF2C	NA	1973	0.4261767864227295	0.16717619	Yes	
row_31	NEK2	NA	2081	0.42236465215682983	0.16877247	Yes	
row_32	SASS6	NA	2123	0.42062416672706604	0.17434151	Yes	
row_33	BCAR1	NA	2140	0.42020633816719055	0.18141998	Yes	
row_34	CDC42BPA	NA	2270	0.4147578179836273	0.1815352	Yes	
