gene_id,gene_name,meancov1k,meancov950,meancovNDR,meancov380_190,meanFFT950,meanFFTNDR,meanSL1k,meanSL950,meansimpson1k,TPM
ENSG00000187634.12,SAMD11,1.643084168434143,1.6343120336532593,1.8013805150985718,1.7198398113250732,0.186121717095375,0.3223512172698974,0.2700650691986084,0.2748537957668304,2.5598052,0.856
ENSG00000188976.11,NOC2L,1.097007393836975,1.0864081382751465,0.4723537266254425,0.8776955008506775,0.0275773368775844,0.2217352390289306,0.4413793087005615,0.4400978088378906,2.7057445,22.187
ENSG00000187961.14,KLHL17,1.38846755027771,1.383094310760498,0.9683683514595032,1.2388607263565063,0.0867348536849021,0.1083332896232605,0.2953367829322815,0.3041824996471405,2.9277573,5.797
ENSG00000187583.11,PLEKHN1,1.4507301648457844,1.4482589960098269,1.2817562818527222,1.435489535331726,0.143012136220932,0.0997318948308626,0.2575821379820506,0.2581974963347117,2.7120579666666664,3.123
ENSG00000187642.9,PERM1,1.612096071243286,1.6014580726623535,1.5743181705474854,1.5653132200241089,0.2349019348621368,0.2064249366521835,0.1548672616481781,0.1527377516031265,2.4805245,1.407
ENSG00000188290.11,HES4,1.2893020510673523,1.2841861844062803,1.0747874975204468,1.1894893050193789,0.0802120231091976,0.0941052436828613,0.2433130666613578,0.2461602240800857,2.7933791,9.273
ENSG00000188157.15,AGRN,1.07025408744812,1.0581549406051636,0.8182875514030457,0.93801349401474,0.0600129030644893,0.0615329518914222,0.3230088353157043,0.3154205679893493,2.8191369,6.109
ENSG00000131591.18,C1orf159,1.081103583176931,1.083348274230957,0.9249144792556764,1.0048036575317385,0.0574681845804055,0.1067545264959335,0.285505657394727,0.2859707921743393,2.687920633333333,6.969
ENSG00000186891.14,TNFRSF18,1.24732506275177,1.2456925213336945,1.14510115981102,1.183492690324783,0.0710781728848815,0.110928975045681,0.1991968639194965,0.1918460577726364,2.503494475,0.398
ENSG00000078808.19,SDF4,0.7350769639015198,0.7302331030368805,0.3238847702741623,0.5476342141628265,0.0773572102189064,0.0866463184356689,0.3058151602745056,0.3027034252882004,2.8495966,56.862
ENSG00000160087.21,UBE2J2,0.831324060757955,0.8269980549812317,0.7395719985167185,0.8115745782852173,0.0987661530574162,0.1439698959390322,0.292866696914037,0.2930769125620524,2.8611939,34.574
ENSG00000162572.21,SCNN1D,1.1179263591766355,1.1152908205986023,1.00837042927742,1.0845801830291748,0.0308218346908688,0.1494826301932335,0.220655158162117,0.2212857902050018,2.4712229,1.65
